0,-1,http://www.bjjtgl.gov.cn/publish/portal0/,1,北京,beijing,京,1,北京,beijing
6,6,http://www.gzjd.gov.cn/cgs/html/violation/visitor.html,3,广州,guangzhou,粤A,20,广东,guangdong
6,6,http://www.stc.gov.cn/WSBS/XXCX/JDCCX/201310/t20131030_443.htm,4,深圳,shenzhen,粤B,30,广东,guangdong
6,0,http://www.cqjg.gov.cn/,8,重庆,chongqing,渝,45,重庆,chongqing
6,0,http://www.hzti.com/service/qry/violation_veh.aspx?pgid=&type=1&node=249,9,杭州,hangzhou,浙A,50,浙江,zhejiang
0,6,http://www.njjg.gov.cn:81/simplequery/simplequery.aspx,11,南京,nanjing,苏A,55,江苏,jiangsu
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,12,武汉,wuhan,鄂A,57,湖北,hubei
0,6,http://www.wxga.gov.cn/jiaoguan/show.php?cid=3&id=1331,14,无锡,wuxi,苏B,52,江苏,jiangsu
6,0,http://wf.nbjj.gov.cn/,15,宁波,ningbo,浙B,51,浙江,zhejiang
0,6,http://czjxj.czinfo.net/dzjccx.asp,17,常州,changzhou,苏D,89,江苏,jiangsu
-1,0,http://www.zzcgs.com.cn/,18,郑州,zhengzhou,豫A,73,河南,henan
7,6,http://www.szcgs.gov.cn/index4.html,19,苏州,su1zhou,苏E,80,江苏,jiangsu
0,-1,http://xianjj.gov.cn/,20,西安,xian,陕A,42,陕西,shan3xi
4,0,http://218.25.58.44/searchsys/,21,沈阳,shenyang,辽A,66,辽宁,liaoning
-1,0,http://www.jnjj.com/jnjjwebnew/Member/carShow.aspx,23,济南,jinan,鲁A,96,山东,shandong
4,4,http://www.qdpolice.gov.cn/cn/service/serviceOnline.do?method=indexTraffic&type=traffic,24,青岛,qingdao,鲁B,60,山东,shandong
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,28,哈尔滨,haerbin,黑A,105,黑龙江,heilongjiang
6,6,http://jj.gdga.gov.cn/,29,珠海,zhuhai,粤C,108,广东,guangdong
6,6,,30,福州,fu1zhou,闽A,44,福建,fujian
6,6,,31,厦门,shamen,闽D,62,福建,fujian
6,0,http://www.tzga.gov.cn:6080/wscgs/vio.do?act=veh_vio_page,32,台州,tai1zhou,浙J,191,浙江,zhejiang
6,0,http://www.dalianjiaojing.com/chaxun/vioVehFind.htm,34,大连,dalian,辽B,65,辽宁,liaoning
6,6,,35,泉州,quanzhou,闽C,110,福建,fujian
6,6,http://www.ahjtxx.com/query/,37,合肥,hefei,皖A,56,安徽,anhui
4,0,http://www.jljj.cn/,38,长春,changchun,吉A,116,吉林,jilin
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,40,昆明,kunming,云A,114,云南,yunnan
4,0,http://www.jljj.cn/,47,吉林,jilin,吉B,161,吉林,jilin
6,0,http://www.jsyzcgs.com/default.php,50,扬州,yangzhou,苏K,120,江苏,jiangsu
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,53,太原,taiyuan,晋A,101,山西,shan1xi
6,0,http://cx.ytjj.gov.cn:9081/ytjjvio/vehvio.action,54,烟台,yantai,鲁F,104,山东,shandong
-1,-1,http://60.190.151.158:8080/queryVehVio.do,55,嘉兴,jiaxing,浙F,185,浙江,zhejiang
-1,0,http://www.zeaer.com/henan/xinxiang/,56,新乡,xinxiang,豫G,103,河南,henan
0,6,http://www.xzjgw.com/2010cx/cars.php,57,徐州,xuzhou,苏C,119,江苏,jiangsu
6,0,http://www.zbjj.gov.cn/,58,淄博,zibo,鲁C,81,山东,shandong
0,6,http://www.ntjxj.com/InternetWeb/dzjk_check.jsp,59,南通,nantong,苏F,82,江苏,jiangsu
4,0,http://hainanjj.gov.cn/info5/search1.html,60,海口,haikou,琼A,94,海南,hainan
3,0,http://bsdt.jhga.gov.cn/egov/jhwas/portals/home_index.jsp,61,金华,jinhua,浙G,188,浙江,zhejiang
6,0,http://www.lycgs.gov.cn:9080/wscgsxxcx/jdcwfcx.do,67,临沂,linyi,鲁Q,230,山东,shandong
-1,0,http://www.wfcgs.com:9080/wscgsxxcx/jdcwfcx.do,68,潍坊,weifang,鲁G,224,山东,shandong
4,6,http://www.zjcgs.gov.cn/wfcx.aspx,69,镇江,zhenjiang,苏L,182,江苏,jiangsu
-1,6,http://wscgs.sxga.gov.cn/,70,绍兴,shaoxing,浙D,187,浙江,zhejiang
0,6,http://cgs.lygga.gov.cn/,72,连云港,lianyungang,苏G,179,江苏,jiangsu
6,-1,http://www.lycgs.com/service/SearchPage.aspx,76,洛阳,luoyang,豫C,236,河南,henan
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,77,贵阳,guiyang,贵A,107,贵州,guizhou
6,0,http://221.2.145.164:9080/wscgsxxcx/jdcwfcx.do,82,威海,weihai,鲁K,227,山东,shandong
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,83,乌鲁木齐,wulumuqi,新A,387,新疆,xinjiang
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,84,兰州,lanzhou,甘A,361,甘肃,gansu
6,0,http://60.211.179.22:9080/wscgsxxcx/jdcwfcx.do,88,济宁,jining,鲁H,225,山东,shandong
4,0,http://www.asgajj.com/ok.asp?find=1,97,鞍山,anshan,辽C,151,辽宁,liaoning
6,0,http://www.dygajj.gov.cn:9080/wscgsxxcx/jdcwfcx.do,105,东营,dongying,鲁E,223,山东,shandong
6,6,,106,莆田,futian,闽B,207,福建,fujian
6,6,,107,漳州,zhangzhou,闽E,209,福建,fujian
4,3,http://www.dd122.com/pages/xxcx.asp,108,丹东,dandong,辽F,154,辽宁,liaoning
-1,0,http://www.qh.xinhuanet.com/trafficxn/,112,西宁,xining,青A,374,青海,qinghai
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,114,宜昌,yichang,鄂E,252,湖北,hubei
6,0,http://www.jzga.gov.cn/wzcx/lookup.aspx,115,焦作,jiaozuo,豫H,97,河南,henan
6,0,http://www.lcwscgs.com/wscgsxxcx/jdcwfcx.do,116,聊城,liaocheng,鲁P,232,山东,shandong
0,4,,118,安阳,anyang,豫E,238,河南,henan
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,120,大庆,daqing,黑E,90,黑龙江,heilongjiang
6,0,http://58.59.39.43:9080/wscgsxxcx/jdcwfcx.do,124,日照,rizhao,鲁L,228,山东,shandong
6,6,http://www.ahjtxx.com/query/,126,芜湖,wuhu,皖B,102,安徽,anhui
6,0,http://www.nycgs.cn/,129,南阳,nanyang,豫R,244,河南,henan
6,0,http://223.99.198.194:9080/wscgsxxcx/jdcwfcx.do,130,德州,dezhou,鲁N,231,山东,shandong
6,6,http://www.ahjtxx.com/query/,131,阜阳,fuyang,皖K,200,安徽,anhui
6,0,http://www.hzjxj.com/,133,湖州,huzhou,浙E,186,浙江,zhejiang
6,6,http://www.ahjtxx.com/query/,136,黄山,huangshan,皖J,198,安徽,anhui
6,4,http://www.nxjj.gov.cn/,138,银川,yinchuan,宁A,382,宁夏,ningxia
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,140,荆州,jingzhou,鄂D,257,湖北,hubei
-1,-1,http://www.kfpolice.com/web/wsbs/OnRedirect.aspx?type=vehicle&hphm=%E8%B1%ABBKY133&fdjh=823685&hpzl=02&sbdm=LFV2A11G893054464,142,开封,kaifeng,豫B,235,河南,henan
6,0,http://jj.lishui.gov.cn/queryInfo.do?act=vehVio,146,丽水,lishui,浙K,192,浙江,zhejiang
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,147,襄阳,xiangyang,鄂F,253,湖北,hubei
6,6,http://www.ahjtxx.com/query/,148,蚌埠,bengbu,皖C,88,安徽,anhui
6,6,http://www.ahjtxx.com/query/,149,安庆,anqing,皖H,197,安徽,anhui
6,0,http://www.zjsgat.gov.cn/,153,衢州,quzhou,浙H,189,浙江,zhejiang
4,0,http://www.hebijj.gov.cn/cxyw.jsp?fid=1,155,鹤壁,hebi,豫F,239,河南,henan
6,0,http://jjzd.police.zhoushan.gov.cn:6080/zzwfcl/vio.do?act=veh_vio_query,156,舟山,zhoushan,浙L,190,浙江,zhejiang
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,158,玉溪,yuxi,云F,331,云南,yunnan
6,0,http://222.134.200.57:9080/wscgsxxcx/jdcwfcx.do,159,莱芜,laiwu,鲁S,229,山东,shandong
6,0,http://218.59.228.162/wscgsxxcx/jdcwfcx.do,162,枣庄,zaozhuang,鲁D,222,山东,shandong
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,164,佳木斯,jiamusi,黑D,173,黑龙江,heilongjiang
6,6,http://www.ahjtxx.com/query/,167,马鞍山,maanshan,皖E,194,安徽,anhui
6,6,http://www.ahjtxx.com/query/,169,亳州,bozhou,皖S,204,安徽,anhui
-1,-1,,170,漯河,luohe,豫L,242,河南,henan
6,0,http://www.jzgajx.com/homepart/default2.aspx,171,锦州,jinzhou,辽G,98,辽宁,liaoning
6,0,http://123.130.246.26:9080/wscgsxxcx/jdcwfcx.do,176,菏泽,heze,鲁R,234,山东,shandong
0,0,http://www.pycgs.cn/,177,濮阳,puyang,豫J,240,河南,henan
4,0,http://www.lnjj.gov.cn/,178,抚顺,fushun,辽D,152,辽宁,liaoning
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,179,黄冈,huanggang,鄂J,258,湖北,hubei
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,181,牡丹江,mudanjiang,黑C,175,黑龙江,heilongjiang
6,6,http://www.ahjtxx.com/query/,182,滁州,chuzhou,皖M,199,安徽,anhui
6,0,http://222.134.43.251:9080/wscgsxxcx/jdcwfcx.do,183,滨州,binzhou,鲁M,233,山东,shandong
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,184,十堰,shiyan,鄂C,251,湖北,hubei
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,185,黄石,huangshi,鄂B,250,湖北,hubei
6,6,,186,三明,sanming,闽G,208,福建,fujian
6,0,http://www.pdsjj.gov.cn/newsController.do?search&symbol=jdc,188,平顶山,pingdingshan,豫D,237,河南,henan
4,0,http://hainanjj.gov.cn/info5/search1.html,189,三亚,sanya,琼B,111,海南,hainan
6,6,,192,龙岩,longyan,闽F,211,福建,fujian
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,194,大同,datong,晋B,129,山西,shan1xi
4,4,http://www.jtjc.gov.cn/hnwsyy/jdcwfcx.do,197,益阳,yiyang,湘H,270,湖南,hunan
6,0,http://www.hnsqga.gov.cn/default.php?mod=c&s=ss6886367,199,商丘,shangqiu,豫N,245,河南,henan
4,0,http://www.lygajj.gov.cn/,201,辽阳,liaoyang,辽K,157,辽宁,liaoning
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,204,酒泉,jiuquan,甘F,368,甘肃,gansu
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,207,保山,baoshan,云M,332,云南,yunnan
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,210,齐齐哈尔,qiqihaer,黑B,109,黑龙江,heilongjiang
6,6,http://www.ahjtxx.com/query/,211,铜陵,tongling,皖G,196,安徽,anhui
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,212,随州,suizhou,鄂S,260,湖北,hubei
0,-1,,213,咸阳,xianyang,陕D,354,陕西,shan3xi
6,6,http://www.ahjtxx.com/query/,217,淮南,huainan,皖D,193,安徽,anhui
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,219,运城,yuncheng,晋M,135,山西,shan1xi
6,6,,220,南平,nanping,闽H,210,福建,fujian
-1,0,http://www.ykjj.gov.cn/wfcx.php,222,营口,yingkou,辽H,155,辽宁,liaoning
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,223,长治,changzhi,晋D,131,山西,shan1xi
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,224,遵义,zunyi,贵C,323,贵州,guizhou
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,226,临汾,linfen,晋L,137,山西,shan1xi
0,0,http://www.zeaer.com/cheguansuo/henan/xinyang.htm,227,信阳,xinyang,豫S,246,河南,henan
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,229,荆门,jingmen,鄂H,255,湖北,hubei
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,230,晋城,jincheng,晋E,132,山西,shan1xi
6,6,,231,宁德,ningde,闽J,212,福建,fujian
-1,0,http://www.haohaopin.com/index.aspx,234,三门峡,sanmenxia,豫M,243,河南,henan
6,6,http://www.ahjtxx.com/query/,235,淮北,huaibei,皖F,195,安徽,anhui
0,0,http://www.xcjjw.gov.cn/,236,许昌,xuchang,豫K,241,河南,henan
6,6,http://www.ahjtxx.com/query/,239,六安,liuan,皖N,203,安徽,anhui
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,244,阳泉,yangquan,晋C,130,山西,shan1xi
4,0,http://bxjj.gov.cn/wfcx/index.aspx,253,本溪,benxi,辽E,153,辽宁,liaoning
6,6,http://www.ahjtxx.com/query/,254,巢湖,chaohu,皖Q,202,安徽,anhui
5,0,http://www.zkgajj.com/,256,周口,zhoukou,豫P,247,河南,henan
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,258,曲靖,qujing,云D,330,云南,yunnan
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,263,红河,honghe,云G,338,云南,yunnan
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,264,毕节,bijie,贵F,327,贵州,guizhou
0,0,,266,铁岭,tieling,辽M,159,辽宁,liaoning
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,268,孝感,xiaogan,鄂K,256,湖北,hubei
6,6,http://www.ahjtxx.com/query/,269,宿州,su4zhou,皖L,201,安徽,anhui
4,0,http://www.jljj.cn/,273,四平,siping,吉C,162,吉林,jilin
0,-1,http://218.24.200.244/,275,阜新,fuxin,辽J,156,辽宁,liaoning
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,277,天水,tianshui,甘E,364,甘肃,gansu
-1,0,http://www.hldgajjzd.com/sjcx/Index.asp,278,葫芦岛,huludao,辽P,95,辽宁,liaoning
0,0,http://0421.weizhangwang.com/,279,朝阳,zhaoyang,辽N,160,辽宁,liaoning
-1,-1,http://www.zmdjj.gov.cn/,280,驻马店,zhumadian,豫Q,248,河南,henan
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,281,鄂州,ezhou,鄂G,254,湖北,hubei
0,-1,http://sn.122.gov.cn/views/inquiry.html,282,汉中,hanzhong,陕F,357,陕西,shan3xi
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,283,鸡西,jixi,黑G,169,黑龙江,heilongjiang
4,0,http://jjd.panjin.gov.cn/index.php,284,盘锦,panjin,辽L,158,辽宁,liaoning
6,6,http://www.ahjtxx.com/query/,285,宣城,xuancheng,皖P,206,安徽,anhui
6,0,,286,渭南,weinan,陕E,355,陕西,shan3xi
4,0,http://www.jljj.cn/,292,通化,tonghua,吉E,164,吉林,jilin
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,294,忻州,xinzhou,晋H,136,山西,shan1xi
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,295,晋中,jinzhong,晋K,134,山西,shan1xi
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,296,伊春,yichun_h,黑F,172,黑龙江,heilongjiang
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,297,伊犁,yili,新F,398,新疆,xinjiang
6,4,http://www.nxjj.gov.cn/sys/jdcwzGuest_displayAll.act,300,石嘴山,shizuishan,宁B,383,宁夏,ningxia
6,6,http://www.ahjtxx.com/query/,301,池州,chizhou,皖R,205,安徽,anhui
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,303,张掖,zhangye,甘G,366,甘肃,gansu
4,0,http://www.jljj.cn/,304,白山,baishan,吉F,165,吉林,jilin
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,306,黔东南,qiandongnan,贵H,328,贵州,guizhou
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,307,六盘水,liupanshui,贵B,322,贵州,guizhou
4,0,http://www.jljj.cn/,309,辽源,liaoyuan,吉D,163,吉林,jilin
0,-1,http://xianjj.gov.cn/,310,延安,yanan,陕J,356,陕西,shan3xi
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,312,咸宁,xianning,鄂L,259,湖北,hubei
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,313,丽江,lijiang,云P,334,云南,yunnan
4,0,http://www.jljj.cn/,316,松原,songyuan,吉J,166,吉林,jilin
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,318,黑河,heihe,黑N,176,黑龙江,heilongjiang
4,0,http://www.jljj.cn/,320,白城,baicheng,吉G,167,吉林,jilin
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,321,鹤岗,hegang,黑H,170,黑龙江,heilongjiang
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,323,安顺,anshun,贵G,324,贵州,guizhou
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,325,朔州,shuozhou,晋F,133,山西,shan1xi
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,326,绥化,suihua,黑M,177,黑龙江,heilongjiang
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,327,白银,baiyin,甘D,363,甘肃,gansu
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,328,克拉玛依,kelamayi,新J,388,新疆,xinjiang
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,331,双鸭山,shuangyashan,黑J,171,黑龙江,heilongjiang
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,333,昭通,zhaotong,云C,333,云南,yunnan
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,337,庆阳,qingyang,甘M,369,甘肃,gansu
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,342,嘉峪关,jiayuguan,甘B,409,甘肃,gansu
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,343,武威,wuwei,甘H,365,甘肃,gansu
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,345,铜仁,tongren,贵D,325,贵州,guizhou
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,346,七台河,qitaihe,黑K,174,黑龙江,heilongjiang
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,351,平凉,pingliang,甘L,367,甘肃,gansu
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,353,金昌,jinchang,甘C,362,甘肃,gansu
4,0,http://www.jljj.cn/,354,延边,yanbian,吉H,168,吉林,jilin
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,355,阿克苏,akesu,新N,394,新疆,xinjiang
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,358,喀什,kashi,新Q,396,新疆,xinjiang
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,361,哈密,hami,新L,390,新疆,xinjiang
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,363,普洱,puer,云J,335,云南,yunnan
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,364,临沧,lincang,云S,336,云南,yunnan
6,4,http://www.nxjj.gov.cn/sys/jdcwzGuest_displayAll.act,365,固原,guyuan,宁D,385,宁夏,ningxia
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,367,和田,hetian,新R,397,新疆,xinjiang
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,368,昌吉,changji,新B,391,新疆,xinjiang
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,369,吐鲁番,tulufan,新K,389,新疆,xinjiang
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,370,大理,dali,云L,341,云南,yunnan
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,371,阿勒泰,aletai,新H,400,新疆,xinjiang
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,372,塔城,tacheng,新G,399,新疆,xinjiang
-1,6,http://111.12.128.5:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,373,海东,haidong,青B,375,青海,qinghai
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,378,恩施,enshi,鄂Q,261,湖北,hubei
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,381,迪庆,diqing,云R,344,云南,yunnan
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,382,黔南,qiannan,贵J,329,贵州,guizhou
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,383,楚雄,chuxiong,云E,337,云南,yunnan
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,384,西双版纳,xishuangbanna,云K,340,云南,yunnan
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,385,甘南,gannan,甘P,373,甘肃,gansu
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,387,文山,wenshan,云H,339,云南,yunnan
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,388,临夏,linxia,甘N,372,甘肃,gansu
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,389,黔西南,qianxinan,贵E,326,贵州,guizhou
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,390,德宏,dehong,云N,342,云南,yunnan
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,391,博尔塔拉,boertala,新E,392,新疆,xinjiang
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,392,怒江,nujiang,云Q,343,云南,yunnan
-1,6,http://111.12.128.5:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,394,海西,haixi,青H,381,青海,qinghai
-1,6,http://111.12.128.5:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,395,海南,hainan,青E,378,青海,qinghai
-1,6,http://111.12.128.5:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,396,玉树,yushu,青G,380,青海,qinghai
-1,6,http://111.12.128.5:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,398,黄南,huangnan,青D,377,青海,qinghai
-1,6,http://111.12.128.5:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,399,海北,haibei,青C,376,青海,qinghai
-1,6,http://111.12.128.5:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,400,果洛,guoluo,青F,379,青海,qinghai
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,402,吕梁,lvliang,晋J,138,山西,shan1xi
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,403,陇南,longnan,甘K,371,甘肃,gansu
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,404,定西,dingxi,甘J,370,甘肃,gansu
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,405,石河子,shihezi,新C,408,新疆,xinjiang
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,408,神农架,shennongjia,鄂P,487,湖北,hubei
4,0,http://hainanjj.gov.cn/info5/search1.html,410,琼海,qionghai,琼C,418,海南,hainan
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,413,潜江,qianjiang,鄂N,550,湖北,hubei
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,418,天门,tianmen,鄂R,578,湖北,hubei
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,419,大兴安岭,daxinganling,黑P,178,黑龙江,heilongjiang
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,423,仙桃,xiantao,鄂M,412,湖北,hubei
6,4,http://www.nxjj.gov.cn/sys/jdcwzGuest_displayAll.act,430,中卫,zhongwei,宁E,386,宁夏,ningxia
-1,0,http://www.jycgs.com/wfcx/jdc_cx.aspx,431,济源,jiyuan,豫U,249,河南,henan